Japanese,English
私,I
あなた,You
彼,He
彼女,She
それ,It
私たち,We
あなたたち,You (plural)
彼ら,They
これ,This
それ,That
ここ,Here
そこ,There
誰,Who
何,What
どこ,Where
いつ,When
どうして,Why
どの,Which
どんな,What kind of
どれ,Which one
どう,How
はい,Yes
いいえ,No
すべて,All
多く,Many
いくつか,Some
少ない,Few
他の,Other
一つ,One
二つ,Two
三つ,Three
四つ,Four
五つ,Five
大きい,Big
長い,Long
広い,Wide
厚い,Thick
重い,Heavy
小さい,Small
短い,Short
狭い,Narrow
薄い,Thin
軽い,Light
女性,Woman
男性,Man
人,Person
子供,Child
妻,Wife
夫,Husband
母,Mother
父,Father
動物,Animal
魚,Fish
鳥,Bird
犬,Dog
虫,Insect
木,Tree
森,Forest
棒,Stick
果物,Fruit
種子,Seed
葉,Leaf
根,Root
皮,Skin
肉,Meat
血,Blood
骨,Bone
脂肪,Fat
卵,Egg
角,Horn
尾,Tail
羽,Feather
毛,Hair
頭,Head
耳,Ear
目,Eye
鼻,Nose
口,Mouth
歯,Tooth
舌,Tongue
爪,Claw
足,Foot
膝,Knee
手,Hand
翼,Wing
腹,Belly
内臓,Guts
首,Neck
背,Back
胸,Breast
心,Heart
肝,Liver
飲む,Drink
食べる,Eat
噛む,Bite
吸う,Suck
吹く,Blow
呼吸する,Breathe
笑う,Laugh
見る,See
聞く,Hear
知る,Know
思う,Think
嗅ぐ,Smell
恐れる,Fear
眠る,Sleep
生きる,Live
死ぬ,Die
殺す,Kill
戦う,Fight
狩る,Hunt
打つ,Hit
切る,Cut
分ける,Split
刺す,Stab
擦る,Scratch
掘る,Dig
泳ぐ,Swim
飛ぶ,Fly
歩く,Walk
来る,Come
横たわる,Lie
座る,Sit
立つ,Stand
回る,Turn
落ちる,Fall
与える,Give
持つ,Hold
押す,Push
引く,Pull
投げる,Throw
結ぶ,Tie
縫う,Sew
数える,Count
言う,Say
歌う,Sing
遊ぶ,Play
浮かぶ,Float
流れる,Flow
凍る,Freeze
膨らむ,Swell
太陽,Sun
月,Moon
星,Star
水,Water
雨,Rain
川,River
湖,Lake
海,Sea
塩,Salt
石,Stone
砂,Sand
塵,Dust
地球,Earth
雲,Cloud
霧,Fog
空,Sky
風,Wind
雪,Snow
氷,Ice
煙,Smoke
火,Fire
灰,Ash
焼く,Burn
道,Way
山,Mountain
赤,Red
緑,Green
黄,Yellow
白,White
黒,Black
夜,Night
日,Day
年,Year
暖かい,Warm
冷たい,Cold
満ちる,Full
新しい,New
古い,Old
良い,Good
悪い,Bad
腐った,Rotten
汚い,Dirty
まっすぐ,Straight
円,Circle
鋭い,Sharp
鈍い,Dull
滑らか,Smooth
湿った,Wet
乾いた,Dry
正しい,Correct
近い,Near
遠い,Far
右,Right
左,Left
で,At
で,In
で,With
と,And
もし,If
なぜ,Because
名前,Name
